Age Range,Zip Code,City,Gender,Donors,Non-Donors,ID Card Donors,ID Card Non-Donors,Driver License Donors,Driver License Non-Donors,ID Card/Driver License Donors,ID Card/Driver License Non-Donors
51-55,19971,REHOBETH,F,1,0,0,1,1,0,0,0
61-65,19720,NEW CASTLE DE,F,0,1,0,1,0,1,0,0
16-17,19971,DEWEY BEACH,M,1,0,0,1,1,0,0,0
26-30,19804,STANTON,F,0,1,0,1,0,1,0,0
71+,19970,MILLVILLE,M,1,5,0,6,1,5,0,0
45-50,19966,MILSBORO,M,1,0,0,1,1,0,0,0
26-30,19904,DOVER DELAWARE,M,1,0,1,0,0,1,0,0
41-45,19716,NEWARK,F,0,1,0,1,0,1,0,0
31-35,19901,LEIPSIC,M,2,2,0,4,2,2,0,0
16-17,19710,MONTCHANIN,F,3,0,0,3,3,0,0,0
18-20,19971,DEWEY BEACH,M,1,2,0,3,1,2,0,0
51-55,19810,WILMINGTON DELA,F,0,1,0,1,0,1,0,0
71+,19807,GREENVILLE,M,1,0,0,1,1,0,0,0
45-50,19702,CHRISTIANA,M,1,1,0,2,1,1,0,0
61-65,19713,NEWARK DE,F,0,1,0,1,0,1,0,0
36-40,19904,DOVER DE,F,0,1,0,1,0,1,0,0
66-70,19807,GREENVILLE,M,2,2,0,4,2,2,0,0
61-65,19936,CHESWOLD,F,5,7,0,12,5,7,0,0
21-25,19702,CHRISTIANA,F,1,0,0,1,1,0,0,0
36-40,19902,DOVER,F,1,0,0,1,1,0,0,0
45-50,19945,FRANFORD,M,1,0,0,1,1,0,0,0
71+,19805,ELSMERE,F,9,10,0,19,9,10,0,1
56-60,19808,MARSHALLTON,M,2,1,0,3,2,1,0,0
31-35,19809,BELLEFONTE,M,5,0,3,2,2,3,0,0
31-35,19732,ROCKLAND,M,2,0,0,2,2,0,0,0
51-55,19807,GREENVILLE,F,2,1,0,3,2,1,0,0
18-20,19702,CHRISTIANA,M,0,1,0,1,0,1,0,0
56-60,19966,LONG NECK,M,1,0,0,1,1,0,0,0
26-30,19715,NEWARK,F,0,1,0,1,0,1,0,0
26-30,19720,NEWCASTLE,F,0,1,0,1,0,1,0,0
45-50,19903,DOVER,F,1,0,0,1,1,0,0,0
45-50,19973,SEAFORD DE,M,1,0,0,1,1,0,0,0
71+,19809,BELLEFONTE,M,4,3,0,7,4,3,0,1
71+,19973,BLADES,F,1,2,0,3,1,2,0,0
66-70,19977,SMYNRA,F,0,1,0,1,0,1,0,0
41-45,19808,MARSHALLTON,M,0,4,0,4,0,4,0,1
56-60,19803,TALLEYVILLE,F,9,4,0,13,9,4,0,0
26-30,19710,MONTCHANIN,F,2,0,0,2,2,0,0,0
66-70,19805,ELSMERE,F,4,7,0,11,4,7,0,0
71+,19805,WIL DEL,F,0,1,0,1,0,1,0,0
36-40,19809,BELLEFONTE,F,5,1,0,6,5,1,0,0
26-30,19966,LONG NECK,F,0,1,0,1,0,1,0,0
21-25,19720,NEWCASTLE,F,0,1,0,1,0,1,0,0
31-35,19808,MARSHALLTON,F,3,2,0,5,3,2,0,0
26-30,19730,ODESSA,F,8,1,0,9,8,1,0,0
45-50,19901,DOVER DE,M,0,1,0,1,0,1,0,0
16-17,19934,CAMDEN-WYOMING,M,1,0,0,1,1,0,0,0
66-70,19934,CAMDEN DE,M,1,0,0,1,1,0,0,0
36-40,19808,MARSHALLTON,F,0,1,0,1,0,1,0,0
16-17,19808,MARSHALLTON,M,1,0,0,1,1,0,0,0
56-60,19805,WILM,F,1,0,0,1,1,0,0,0
56-60,19894,WILMINGTON,F,1,0,0,1,1,0,0,0
26-30,19966,LONG NECK,M,1,0,0,1,1,0,0,0
71+,19807,GREENVILLE,F,2,1,0,3,2,1,0,0
45-50,19733,SAINT GEORGES,F,4,3,0,7,4,3,0,0
45-50,19931,BETHEL,M,3,3,0,6,3,3,0,0
26-30,19801,WILMIMGTON,F,0,1,0,1,0,1,0,0
45-50,19735,WINTERTHUR,F,1,0,0,1,1,0,0,0
56-60,19801,WILM,F,1,0,0,1,1,0,0,0
56-60,19970,MILLVILLE,F,1,1,0,2,1,1,0,0
21-25,19966,LONG NECK,F,1,0,0,1,1,0,0,0
31-35,19809,EDGEMOOR,M,1,0,0,1,1,0,0,0
71+,19936,CHESWOLD,M,6,14,1,19,5,15,0,1
56-60,19733,SAINT GEORGES,F,16,2,0,18,16,2,0,0
45-50,19805,ELSMERE,M,8,12,1,19,7,13,0,1
71+,19710,MONTCHANIN,M,5,2,0,7,5,2,0,0
71+,19970,MILLVILLE,F,5,5,0,10,5,5,0,0
41-45,19805,ELSMERE,F,5,13,1,17,4,14,0,0
26-30,19720,NEWCASTLE,M,0,1,0,1,0,1,0,0
45-50,19801,WILIMINGTON,F,0,1,0,1,0,1,0,0
36-40,19962,WOODSIDE,F,1,0,0,1,1,0,0,0
66-70,19710,MONTCHANIN,M,4,0,0,4,4,0,0,0
45-50,19901,LEIPSIC,F,1,1,0,2,1,1,0,1
41-45,19702,CHRISTIANA,F,1,0,1,0,0,1,1,0
51-55,19970,MILLVILLE,M,1,0,0,1,1,0,0,0
21-25,19716,NEWARK,M,0,1,0,1,0,1,0,0
<16,19701,BEAR,F,1,1,1,1,0,2,0,0
61-65,19969,NASSAU,F,1,0,0,1,1,0,0,0
61-65,19961,LITTLE CREEK,F,1,3,0,4,1,3,0,0
21-25,19711,NEWARK DE,M,0,1,0,1,0,1,0,0
36-40,19736,YORKLYN,F,1,2,0,3,1,2,0,0
41-45,19952,HARRINGTON DELA,M,1,0,0,1,1,0,0,0
71+,19944,FENWICK ISLE,F,1,2,0,3,1,2,0,0
31-35,19944,FENWICK ISLAND,F,6,3,0,9,6,3,0,1
31-35,19894,WILMINGTON,F,0,1,0,1,0,1,0,1
71+,19808,WILMINGTON 8,F,0,1,0,1,0,1,0,0
61-65,19802,DELAWAR,M,0,1,0,1,0,1,0,0
51-55,19809,BELLEFONTE,M,3,4,0,7,3,4,0,0
71+,19930,BETHANY,F,1,1,0,2,1,1,0,0
41-45,19971,REHOBOTH,M,1,2,0,3,1,2,0,1
51-55,19944,FENWICK ISLE,F,1,0,0,1,1,0,0,0
51-55,19720,NEWCASTLE,F,2,1,0,3,2,1,0,0
66-70,19805,ELSMERE,M,2,4,0,6,2,4,0,0
16-17,19936,CHESWOLD,M,1,0,0,1,1,0,0,0
51-55,19702,CHRISTIANA,M,2,0,0,2,2,0,0,0
41-45,19902,DOVER,M,1,0,0,1,1,0,0,0
31-35,19973,SEAFORD DEL,F,0,1,0,1,0,1,0,0
26-30,19732,ROCKLAND,F,2,0,0,2,2,0,0,0
36-40,19930,BETHANY BEACH,M,14,6,0,20,14,6,0,1
56-60,19950,FARMINGTON,F,0,1,0,1,0,1,0,0
61-65,19703,CLAYMNONT,F,1,0,0,1,1,0,0,0
66-70,19803,TALLEYVILLE,M,3,5,0,8,3,5,0,0
51-55,19807,GREENVILLE,M,3,2,0,5,3,2,0,0
16-17,19803,TALLEYVILLE,F,1,0,0,1,1,0,0,0
18-20,19805,ELSMERE,F,6,8,0,14,6,8,0,1
71+,19971,REHOBOTH BCH,M,15,14,0,29,15,14,0,0
71+,19803,TALLEYVILLE,M,6,11,1,16,5,12,0,0
51-55,19977,SMYRNA DELAWARE,F,1,0,0,1,1,0,0,0
45-50,19934,WYOMING,F,22,11,1,32,21,12,0,1
16-17,19930,BETHANY BEACH,F,3,1,0,4,3,1,0,0
21-25,19803,TALLEYVILLE,M,9,8,0,17,9,8,1,3
51-55,19953,HARTLY,M,70,97,4,163,66,101,0,6
41-45,19732,ROCKLAND,F,1,0,0,1,1,0,0,0
21-25,19805,ELSMERE,M,9,20,1,28,8,21,1,4
61-65,19732,ROCKLAND,F,10,3,0,13,10,3,0,0
21-25,19731,PORT PENN,M,2,1,1,2,1,2,0,0
71+,19720,NEW CASTLE DE,M,0,1,0,1,0,1,0,0
56-60,19941,ELLENDALE,F,62,58,3,117,59,61,3,4
45-50,19979,VIOLA,F,8,7,0,15,8,7,0,0
18-20,19717,NEWARK,M,3,12,0,15,3,12,0,4
26-30,19931,BETHEL,F,3,0,0,3,3,0,0,0
16-17,19964,MARYDEL,M,2,2,0,4,2,2,0,0
56-60,19733,ST GEORGES,M,1,1,0,2,1,1,0,0
41-45,19730,ODESSA,F,7,4,0,11,7,4,0,0
18-20,19944,FENWICK ISLAND,F,3,0,0,3,3,0,0,0
21-25,19807,GREENVILLE,M,2,1,0,3,2,1,0,0
21-25,19710,MONTCHANIN,M,2,0,0,2,2,0,0,0
18-20,19731,PORT PENN,F,3,0,1,2,2,1,2,0
31-35,19732,ROCKLAND,F,1,0,0,1,1,0,0,0
41-45,19954,HOUSTON,F,18,21,0,39,18,21,1,0
66-70,19961,LITTLE CREEK,M,0,4,0,4,0,4,0,0
18-20,19980,WOODSIDE,M,2,1,0,3,2,1,0,0
45-50,19971,REHOBOTH BCH,M,14,7,0,21,14,7,0,1
66-70,19980,WOODSIDE,F,3,2,0,5,3,2,0,0
26-30,19710,MONTCHANIN,M,3,3,0,6,3,3,0,0
41-45,19961,LITTLE CREEK,M,1,0,1,0,0,1,0,0
51-55,19979,VIOLA,F,26,8,1,33,25,9,1,0
41-45,19733,ST GEORGES,F,2,0,0,2,2,0,0,0
31-35,19934,CAMDEN WYO,M,8,5,0,13,8,5,0,1
41-45,19731,PORT PENN,F,4,2,0,6,4,2,0,0
66-70,19931,BETHEL,F,4,5,0,9,4,5,0,0
61-65,19971,REHOBOTH,M,7,5,0,12,7,5,0,0
61-65,19735,WINERTH DEL,M,0,1,0,1,0,1,0,0
21-25,19717,NEWARK,F,4,12,0,16,4,12,0,0
31-35,19731,PORT PENN,F,7,4,0,11,7,4,0,1
21-25,19973,BLADES,M,0,2,0,2,0,2,0,0
18-20,19936,CHESWOLD,M,1,0,0,1,1,0,0,0
41-45,19934,CAMDEN WYO,M,7,2,0,9,7,2,0,0
36-40,19944,FENWICK ISLAND,F,1,1,1,1,0,2,0,0
36-40,19967,MILLVILLE,F,20,8,0,28,20,8,0,1
51-55,19971,DEWEY BEACH,M,12,4,0,16,12,4,0,1
41-45,19971,REHOBOTH BCH,M,16,12,2,26,14,14,0,0
45-50,19964,MARYDEL,M,20,25,1,44,19,26,1,1
61-65,19707,HOCKESSIN,M,0,1,0,1,0,1,0,0
51-55,19934,CAMDEN WYO,F,5,2,0,7,5,2,0,0
